14	2.58201e-29
16	7.14134e-31
18	4.78217e-32
20	6.6298e-33
22	1.68462e-33
24	6.02296e-34
26	2.73978e-34
28	1.4831e-34
30	9.05713e-35
35	3.82097e-35
40	2.16522e-35
50	1.10383e-35
60	7.7127e-36
70	6.29752e-36
80	5.58993e-36
90	5.16538e-36
100	4.9885e-36
110	4.88234e-36
120	4.81158e-36
130	4.81158e-36
140	4.88234e-36
150	4.91774e-36
160	4.9885e-36
170	5.09462e-36
180	5.16538e-36
190	5.27153e-36
200	5.37765e-36
300	6.61596e-36
400	7.99574e-36
500	9.41092e-36
600	1.08968e-35
700	1.2312e-35
800	1.38687e-35
900	1.52839e-35
1000	1.68405e-35
2000	3.16999e-35
3000	4.67006e-35
4000	6.17016e-35
5000	7.69854e-35
6000	9.17032e-35
7000	1.06421e-34
8000	1.21139e-34
9000	1.36989e-34
10000	1.51706e-34
