12	3.95076e-27
14	9.5643e-32
16	1.46725e-33
18	1.43782e-34
20	2.17937e-35
22	5.73145e-36
24	2.19352e-36
26	1.06138e-36
28	6.01448e-37
30	3.82539e-37
35	1.70263e-37
40	1.0061e-37
50	5.38983e-38
60	3.86962e-38
70	3.20625e-38
80	2.87457e-38
90	2.70873e-38
100	2.62581e-38
110	2.59817e-38
120	2.58435e-38
130	2.59817e-38
140	2.62581e-38
150	2.68109e-38
160	2.73637e-38
170	2.79165e-38
180	2.84693e-38
190	2.92985e-38
200	3.01277e-38
300	3.81434e-38
400	4.69881e-38
500	5.63859e-38
600	6.52306e-38
700	7.46285e-38
800	8.40259e-38
900	9.34234e-38
1000	1.02821e-37
2000	1.96797e-37
3000	2.9188e-37
4000	3.8475e-37
5000	4.82045e-37
6000	5.74915e-37
7000	6.72208e-37
8000	7.65077e-37
9000	8.57947e-37
10000	9.55244e-37
