14	4.51112e-29
16	3.47793e-31
18	2.95624e-32
20	1.22271e-33
22	2.85299e-34
24	6.00032e-35
26	2.34919e-35
28	1.06845e-35
30	6.01448e-36
35	2.38811e-36
40	1.43286e-36
50	7.91611e-37
60	6.81053e-37
70	6.5452e-37
80	6.63362e-37
90	6.81053e-37
100	7.1201e-37
110	7.42967e-37
120	7.78346e-37
130	8.13726e-37
140	8.49105e-37
150	8.84485e-37
160	9.28706e-37
170	9.64086e-37
180	1.00831e-36
190	1.04369e-36
200	1.08792e-36
300	1.50362e-36
400	1.92818e-36
500	2.33504e-36
600	2.77728e-36
700	3.20183e-36
800	3.60869e-36
900	4.03323e-36
1000	4.45778e-36
2000	8.77409e-36
3000	1.30196e-35
4000	1.72651e-35
5000	2.16522e-35
6000	2.58977e-35
7000	3.02847e-35
8000	3.45302e-35
9000	3.87758e-35
10000	4.30215e-35
