14	5.93567e-29
16	1.61376e-30
18	1.08975e-31
20	1.5071e-32
22	3.76776e-33
24	1.34045e-33
26	6.06828e-34
28	3.26056e-34
30	1.99256e-34
35	8.09478e-35
40	4.44366e-35
50	2.12276e-35
60	1.39395e-35
70	1.07553e-35
80	9.05713e-36
90	8.13726e-36
100	7.57118e-36
110	7.21739e-36
120	6.96971e-36
130	6.86359e-36
140	6.79283e-36
150	6.72208e-36
160	6.75744e-36
170	6.79283e-36
180	6.86359e-36
190	6.93435e-36
200	7.00511e-36
300	8.34953e-36
400	9.90624e-36
500	1.16044e-35
600	1.33026e-35
700	1.50009e-35
800	1.6699e-35
900	1.85388e-35
1000	2.03785e-35
2000	3.79266e-35
3000	5.60409e-35
4000	7.35891e-35
5000	9.17032e-35
6000	1.09817e-34
7000	1.27366e-34
8000	1.44914e-34
9000	1.63028e-34
10000	1.81142e-34
