10	1.11294e-30
12	3.21708e-32
14	1.07907e-36
16	2.03155e-38
18	2.24576e-39
20	3.62776e-40
22	1.03651e-40
24	4.15682e-41
26	2.1054e-41
28	1.22815e-41
30	7.96271e-42
35	3.71144e-42
40	2.2606e-42
50	1.23152e-42
60	8.85683e-43
70	7.12765e-43
80	6.15764e-43
90	5.60934e-43
100	5.27192e-43
110	5.01888e-43
120	4.89234e-43
130	4.808e-43
140	4.76583e-43
150	4.76583e-43
160	4.808e-43
170	4.808e-43
180	4.89234e-43
190	4.93454e-43
200	5.01888e-43
300	5.98893e-43
400	7.16981e-43
500	8.47728e-43
600	9.78471e-43
700	1.11343e-42
800	1.24839e-42
900	1.38335e-42
1000	1.51832e-42
2000	2.8848e-42
3000	4.2513e-42
4000	5.63463e-42
5000	7.01799e-42
6000	8.36762e-42
7000	9.78471e-42
8000	1.11343e-41
9000	1.25514e-41
10000	1.3901e-41
